record_id,redcap_repeat_instrument,redcap_repeat_instance,document_id,process_id,title_2,title,doc_type,register_date,agency,cooperating_agency,action_type,state,county,location,tek_eis_description_complete,dd_date,coder_name,coder_name_2,text_illegible,tek_term_used,section_eis,section_eis_oth,section_eis_notes,who_mention_tek,who_mention_oth,who_mention_tek_notes,request_criticism___9,request_criticism_notes,procedural_use,procedural_use_notes,subject_tek_use___51,subject_tek_use___52,subject_tek_use___53,subject_tek_use___54,subject_tek_use___55,subject_tek_use___56,subject_tek_use___57,subject_tek_use___58,subject_tek_use___59,subject_tek_use___60,subject_tek_use___61,subject_tek_use___62,subject_tek_use___63,subject_tek_use___64,subject_tek_use___65,subject_tek_use___66,subject_tek_use___67,subject_tek_use___68,subject_tek_use___69,subject_tek_use___70,subject_tek_use___71,subject_tek_use___72,subject_tek_use___73,subject_tek_use___74,subject_tek_use___75,subject_tek_use___76,subject_tek_use___77,subject_tek_use___78,subject_tek_use___79,subject_tek_use___80,subject_tek_use___81,subject_tek_use___82,subject_tek_use___83,subject_tek_use___84,subject_tek_use___85,subject_tek_use___555,subject_tek_use_oth,subject_tek_use_notes,hit_affect_change,hit_affect_change_oth,hit_affect_change_notes,good_case_studies,tek_repeats_complete,record_count
1,,,11531,1004211,Snow Basin Vegetation Management Project Proposal,Snow Basin Vegetation Management Project Proposal to Implementing Commercial Harvest of Timber Post Harvest Non-commercial Thinning Whitman Ranger District Wallowa-Whitman Forest Baker County OR,Final,3/30/12,Forest Service,,Conservation/Restoration/ Bio. Resource use,OR,OR: Baker,Wallowa-Whitman Nation Forest,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1,tek_repeats,1,,,,,,,,,,,,,,2/10/25 15:50,sancico,2,0,11,2,,"Although all action alternatives at least meet minimum LRMP standards for elk, local knowledge of elk  habitat conditions, elk distribution, and trends in the population are combined in the following ranking of  alternatives relative to elk habitat. Alternative 4 would retain the most desirable combination of  satisfactory cover, marginal cover, forage areas, and security areas for elk. Alternatives 2 and 3 are  similar in their effects to elk habitat, but alternative 3 would retain a slightly more desirable combination  of cover, forage and security areas for elk than Alternative 2.  ",,,,1,,14,"Although all action alternatives at least meet minimum LRMP standards for elk, local knowledge of elk  habitat conditions, elk distribution, and trends in the population are combined in the following ranking of  alternatives relative to elk habitat. Alternative 4 would retain the most desirable combination of  satisfactory cover, marginal cover, forage areas, and security areas for elk. Alternatives 2 and 3 are  similar in their effects to elk habitat, but alternative 3 would retain a slightly more desirable combination  of cover, forage and security areas for elk than Alternative 2.  ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Although all action alternatives at least meet minimum LRMP standards for elk, local knowledge of elk  habitat conditions, elk distribution, and trends in the population are combined in the following ranking of  alternatives relative to elk habitat. Alternative 4 would retain the most desirable combination of  satisfactory cover, marginal cover, forage areas, and security areas for elk. Alternatives 2 and 3 are  similar in their effects to elk habitat, but alternative 3 would retain a slightly more desirable combination  of cover, forage and security areas for elk than Alternative 2.  ",71,,,0,2,
1,tek_repeats,2,,,,,,,,,,,,,,2/12/25 18:20,pward,2,1,11,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,2,
1,tek_repeats,3,,,,,,,,,,,,,,2/12/25 18:26,pward,2,1,16,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2,
1,tek_repeats,4,,,,,,,,,,,,,,2/12/25 18:26,pward,2,0,11,14,,,,,,1,,7,"The Forest Service relied on local knowledge and judgment regarding unique, site specific conditions of each area  being considered for placement on the inventory of potential wilderness. Delineation of areas for potential  wilderness inventory; locate boundaries at prominent natural or semi-permanent human-made features to facilitate  easy on-the-ground identification.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,70,,"The Forest Service relied on local knowledge and judgment regarding unique, site specific conditions of each area  being considered for placement on the inventory of potential wilderness. Delineation of areas for potential  wilderness inventory; locate boundaries at prominent natural or semi-permanent human-made features to facilitate  easy on-the-ground identification.  ",1,2,
1,tek_repeats,5,,,,,,,,,,,,,,2/12/25 18:38,pward,2,1,16,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,2,
1,tek_repeats,6,,,,,,,,,,,,,,2/12/25 18:43,pward,2,1,11,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2,
2,,,5992,765,Izembek National Wildlife National Wildlife Refuge,Izembek National Wildlife National Wildlife Refuge Land Exchange/Road Corridor,Final,2/15/13,Fish and Wildlife Service,U.S. Army Corps of Engineers;Federal Highway Administration,Land Exchange,AK,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
2,tek_repeats,1,,,,,,,,,,,,,,2/20/25 16:50,kristarc,1,0,4,1,,"Filename: 03 Chapter 1 Purpose and Need.pdf	Match: traditional knowledge  Concern was expressed that the EIS needs to address financial   connections between the oil industry seeking leases in Bristol Bay and proponents of the road across the   peninsula.     Road Design, Bridges, Transportation, Planning and Transportation Systems (air, water, and road):    Expressed concern regarding the width of the road corridor and how the existing road that runs north of Cold   Bay through Izembek National Wildlife Refuge would be affected by the exchange and how it would be   connected.     Subsistence:  The EIS should evaluate effects of the land exchange and construction of the proposed road on   subsistence in relation to impacts from subsistence use, access, and management.  The benefits of the road to   the communities of Cold Bay and King Cove need to be evaluated against the impacts to natural resources and   the subsistence culture of Alaska and the rest of the west coast of Alaska.  The EIS should gather and analyze   traditional knowledge on subsistence use patterns and disclose historical information compiled on subsistence   all-terrain vehicle use within the Izembek National Wildlife Refuge. ",,,,0,"Filename: 03 Chapter 1 Purpose and Need.pdf	Match: traditional knowledge  Concern was expressed that the EIS needs to address financial   connections between the oil industry seeking leases in Bristol Bay and proponents of the road across the   peninsula.     Road Design, Bridges, Transportation, Planning and Transportation Systems (air, water, and road):    Expressed concern regarding the width of the road corridor and how the existing road that runs north of Cold   Bay through Izembek National Wildlife Refuge would be affected by the exchange and how it would be   connected.     Subsistence:  The EIS should evaluate effects of the land exchange and construction of the proposed road on   subsistence in relation to impacts from subsistence use, access, and management.  The benefits of the road to   the communities of Cold Bay and King Cove need to be evaluated against the impacts to natural resources and   the subsistence culture of Alaska and the rest of the west coast of Alaska.  The EIS should gather and analyze   traditional knowledge on subsistence use patterns and disclose historical information compiled on subsistence   all-terrain vehicle use within the Izembek National Wildlife Refuge. ",8,"Filename: 03 Chapter 1 Purpose and Need.pdf	Match: traditional knowledge    Subsistence:  The EIS should evaluate effects of the land exchange and construction of the proposed road on   subsistence in relation to impacts from subsistence use, access, and management.  The benefits of the road to   the communities of Cold Bay and King Cove need to be evaluated against the impacts to natural resources and   the subsistence culture of Alaska and the rest of the west coast of Alaska.  The EIS should gather and analyze   traditional knowledge on subsistence use patterns and disclose historical information compiled on subsistence   all-terrain vehicle use within the Izembek National Wildlife Refuge. ",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"Subsistence:  The EIS should evaluate effects of the land exchange and construction of the proposed road on   subsistence in relation to impacts from subsistence use, access, and management.  The benefits of the road to   the communities of Cold Bay and King Cove need to be evaluated against the impacts to natural resources and   the subsistence culture of Alaska and the rest of the west coast of Alaska.  The EIS should gather and analyze   traditional knowledge on subsistence use patterns and disclose historical information compiled on subsistence   all-terrain vehicle use within the Izembek National Wildlife Refuge.     Wilderness:  Concerns about impacts that the proposed land exchange and proposed road could have on the   wildlife and wilderness values of the Izembek National Wildlife Refuge and impacts to tourism from loss of   wilderness.  Concern was expressed that declassification of wilderness will have an effect on wilderness   across the nation.  A comparative evaluation of wilderness and lands proposed for exchange was   recommended. ",74,,,1,2,
2,tek_repeats,2,,,,,,,,,,,,,,2/20/25 16:58,kristarc,1,,16,3,, CHAPTER 3.3  SOCIAL ENVIRONMENT    3.3.7  SUBSISTENCE         IZEMBEK NATIONAL WILDLIFE REFUGE 3-309     LAND EXCHANGE/ROAD CORRIDOR EIS     3.3.7 Subsistence ,,,,1,,7,"3.3.7 Subsistence   Subsistence is central to the livelihood of many Alaska Native communities and other rural   residents.  The patterns of subsistence harvests are shaped by local and regional factors of   ecology, community history, culture, and economy.  What is termed ""subsistence"" in law is, on   the ground, a myriad of distinct, localized traditions established by communities (Wolfe 2004).    The subsistence patterns of local communities can include extensive ecological knowledge,   effective harvest techniques, traditions for cooperation and sharing, and cultural ceremonial   activities. ",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,"3.3.7 Subsistence   Subsistence is central to the livelihood of many Alaska Native communities and other rural   residents.  The patterns of subsistence harvests are shaped by local and regional factors of   ecology, community history, culture, and economy.  What is termed ""subsistence"" in law is, on   the ground, a myriad of distinct, localized traditions established by communities (Wolfe 2004).    The subsistence patterns of local communities can include extensive ecological knowledge,   effective harvest techniques, traditions for cooperation and sharing, and cultural ceremonial   activities.     Subsistence activities involve hunting, fishing, trapping, and collecting (ADF&G 2010m).  A   wide array of natural resources is harvested throughout the year in a regular cycle of seasonal   efforts timed for availability, access, and condition of the resources.  The composition of   subsistence harvests includes many species of fish, land mammals, marine mammals and   invertebrates, terrestrial invertebrates, waterfowl, berries, plants, and firewood gathering.  People   rely on these locally available resources for food, clothing, fuel, transportation, construction, art,   crafts, exchange, and customary trade (Wolfe 2000).   The use of traditional food in the subsistence lifestyle provides important benefits to users.    Subsistence foods are often preferable as they are rich in many nutrients, lower in fat, and   considered healthier than purchased foods.  Subsistence harvesting of traditional foods, including   preparation, eating, and sharing of resources, contributes to the social, cultural, and spiritual   well-being of....",74,,,0,2,
